#====================================================================================================
#                        quCR Entanglement Visibility Measurement Protocol                          #
#====================================================================================================
#    Integration Time: 1 s
#
#    raw Visibility HH,VV: 0.724585
#    corrected Visibility HH,VV: 0.884436
#
#    raw Visibility PP,MM: 0.648936
#    corrected Visibility PP,MM: 0.786437
#
#    Measurement   Single1   Single2   Coincidencs   Randoms
|HH><HH| 88908 86416 1618 153.661 
|VV><VV| 71772 57067 511 81.9163 
|VH><VH| 71696 86248 179 123.673 
|HV><HV| 88389 56688 161 100.212 
|++><++| 80605 68940 875 111.138 
|--><--| 79932 73065 1295 116.805 
|-+><-+| 80066 69413 243 111.152 
|+-><+-| 81046 73218 219 118.681 
